trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000544.SZ,6.6101,6.8876,6.5669,6.6656,6.6902,-0.02459999999999951,-0.3677,151103.58,164694.5127,5.6076,0.77,,,,,,,,,,,,,,
20120105,000544.SZ,6.5299,6.5299,5.9996,5.9996,6.6656,-0.6660000000000004,-9.9916,133767.26,134594.651,4.9643,0.75,,,,,,,,,,,,,,
20120106,000544.SZ,5.716,5.8517,5.4262,5.7345,5.9996,-0.26510000000000034,-4.4186,140838.86,128780.9677,5.2267,0.83,,,,,,,,,,,,,,
20120109,000544.SZ,5.6728,5.9811,5.5988,5.938,5.7345,0.20350000000000001,3.5487,112338.58,106207.0802,4.169,0.68,,,,,,,,,,,,,,
20120110,000544.SZ,5.9133,6.4374,5.8578,6.2463,5.938,0.3083,5.192,156511.04,156805.5054,5.8083,1.04,6.1168,138911.864,,,,,,,,,,,,
20120111,000544.SZ,6.1661,6.5916,6.0921,6.4128,6.2463,0.1665000000000001,2.6656,159306.12,163886.0434,5.9121,1.15,6.0662,140552.372,,,,,,,,,,,,
20120112,000544.SZ,6.3511,6.4559,6.1846,6.3696,6.4128,-0.04319999999999968,-0.6737,113363.82,116685.818,4.2071,0.81,6.1402,136471.684,,,,,,,,,,,,
20120113,000544.SZ,6.3264,6.3573,5.7653,5.9256,6.3696,-0.44399999999999995,-6.9706,119810.04,117795.2645,4.4463,0.88,6.1785,132265.92,,,,,,,,,,,,
20120116,000544.SZ,5.8578,5.9195,5.642,5.679,5.9256,-0.24659999999999993,-4.1616,57979.43,54234.3653,2.1517,0.44,6.1267,121394.09,,,,,,,,,,,,
20120117,000544.SZ,5.679,6.0675,5.6605,6.0675,5.679,0.3884999999999996,6.841,71342.98,68291.4702,2.6476,0.59,6.0909,104360.478,6.1038,121636.171,,,,,,,,,,
20120118,000544.SZ,6.086,6.1476,5.753,5.8023,6.0675,-0.2652000000000001,-4.3708,72039.34,70021.1411,2.6735,0.69,5.9688,86907.122,6.0175,113729.747,,,,,,,,,,
20120119,000544.SZ,5.864,5.9503,5.7592,5.8763,5.8023,0.07399999999999984,1.2754,54733.22,51946.5994,2.0312,0.63,5.8701,75181.002,6.0052,105826.343,,,,,,,,,,
20120120,000544.SZ,5.8393,6.0305,5.8393,5.9503,5.8763,0.07400000000000073,1.2593,51468.61,49744.6301,1.9101,0.68,5.8751,61512.716,6.0268,96889.318,6.0513,107277.1446,,,,,,,,
20120130,000544.SZ,5.9688,6.0181,5.8886,5.8948,5.9503,-0.05550000000000033,-0.9327,41286.09,39782.9722,1.5322,0.67,5.9182,58174.048,6.0224,89784.069,5.992,98829.6454,,,,,,,,
20120131,000544.SZ,5.9195,5.9688,5.8147,5.9626,5.8948,0.06780000000000008,1.1502,35950.72,34367.3898,1.3342,0.62,5.8973,51095.596,5.9941,77728.037,5.9892,91305.2962,,,,,,,,
20120201,000544.SZ,5.9688,6.0798,5.9318,5.975,5.9626,0.012399999999999523,0.208,78123.09,76292.1454,2.8992,1.53,5.9318,52312.346,5.9503,69609.734,6.0077,86481.0062,,,,,,,,
20120202,000544.SZ,5.9935,6.123,5.8948,6.1045,5.975,0.12950000000000017,2.1674,65482.44,63841.1728,2.4301,1.25,5.9774,54462.19,5.9238,64821.596,6.0205,82876.6877,,,,,,,,
20120203,000544.SZ,6.0736,6.1785,6.0305,6.1353,6.1045,0.03080000000000016,0.5045,76507.47,75798.5656,2.8393,1.4,6.0144,59469.962,5.9448,60491.339,6.012,76722.5669,,,,,,,,
20120206,000544.SZ,6.1291,6.1661,6.049,6.0921,6.1353,-0.04319999999999968,-0.7041,48079.32,47610.9586,1.7843,0.81,6.0539,60828.608,5.9861,59501.328,5.9873,68166.6592,,,,,,,,
20120207,000544.SZ,6.1045,6.1291,5.9873,6.0613,6.0921,-0.03080000000000016,-0.5056,59736.26,58701.3558,2.2169,0.98,6.0736,65585.716,5.9854,58340.656,5.9636,64041.4623,,,,,,,,
20120208,000544.SZ,6.0305,6.1785,5.9688,6.1538,6.0613,0.09250000000000025,1.5261,59524.32,58930.7216,2.209,0.91,6.1094,61865.962,6.0206,57089.154,5.9811,59404.0992,6.0498,88537.7424,,,,,,
20120209,000544.SZ,6.1291,6.3881,6.1168,6.2155,6.1538,0.0616999999999992,1.0026,109824.07,111432.5111,4.0757,1.78,6.1316,70734.288,6.0545,62598.239,6.0224,63392.1485,6.0284,86572.0514,,,,,,
20120210,000544.SZ,6.1415,6.2216,6.086,6.1908,6.2155,-0.024699999999999278,-0.3974,65974.01,65878.2037,2.4484,0.93,6.1427,68627.596,6.0786,64048.779,6.0319,62979.1508,6.0375,83343.8014,,,,,,
20120213,000544.SZ,6.1045,6.2771,6.0736,6.197,6.1908,0.006199999999999761,0.1001,59149.18,59334.0152,2.1951,0.86,6.1637,70841.568,6.1088,65835.088,6.0623,61987.6,6.0595,79453.8167,,,,,,
20120214,000544.SZ,6.1785,6.2155,6.1168,6.1476,6.197,-0.04940000000000033,-0.7972,46737.95,46713.2545,1.7345,0.66,6.1809,68241.906,6.1273,66913.811,6.0831,61372.5792,6.0695,76329.9771,,,,,,
20120215,000544.SZ,6.1415,6.4128,6.1106,6.2894,6.1476,0.14179999999999993,2.3066,105158.59,106971.8829,3.9026,1.54,6.2081,77368.76,6.1587,69617.361,6.1092,65502.5777,6.0716,73884.6224,,,,,,
