trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000065.SZ,3.4986,3.4986,3.3373,3.3373,3.4084,-0.07109999999999994,-2.086,1515.53,1897.0313,0.0933,0.74,,,,,,,,,,,,,,
20120105,000065.SZ,3.2799,3.3373,3.2116,3.2389,3.3373,-0.09839999999999982,-2.9485,2944.9,3506.9405,0.1813,1.48,,,,,,,,,,,,,,
20120106,000065.SZ,3.2362,3.2362,3.023,3.1433,3.2389,-0.09560000000000013,-2.9516,1388.22,1589.0989,0.0855,0.69,,,,,,,,,,,,,,
20120109,000065.SZ,3.146,3.2799,3.0476,3.2799,3.1433,0.13660000000000005,4.3458,3549.98,4189.7197,0.2185,1.9,,,,,,,,,,,,,,
20120110,000065.SZ,3.2799,3.4166,3.2444,3.4111,3.2799,0.13119999999999976,4.0001,3797.12,4693.0898,0.2338,1.67,3.2821,2639.15,,,,,,,,,,,,
20120111,000065.SZ,3.4385,3.4685,3.3674,3.4029,3.4111,-0.008199999999999985,-0.2404,3621.22,4510.6121,0.2229,1.37,3.2952,3060.288,,,,,,,,,,,,
20120112,000065.SZ,3.4029,3.4767,3.3838,3.4767,3.4029,0.07380000000000031,2.1687,4173.31,5240.5584,0.2569,1.36,3.3428,3305.97,,,,,,,,,,,,
20120113,000065.SZ,3.5341,3.7501,3.4767,3.638,3.4767,0.16129999999999978,4.6395,16819.77,22423.005,1.0355,5.09,3.4417,6392.28,,,,,,,,,,,,
20120116,000065.SZ,3.6189,3.6189,3.3893,3.3893,3.638,-0.24869999999999992,-6.8362,7645.64,9771.1735,0.4707,1.2,3.4636,7211.412,,,,,,,,,,,,
20120117,000065.SZ,3.4275,3.5505,3.3237,3.5396,3.3893,0.1503000000000001,4.4345,5464.4,6934.9165,0.3364,0.76,3.4893,7544.868,3.3857,5092.009,,,,,,,,,,
20120118,000065.SZ,3.5533,3.6052,3.4904,3.4904,3.5396,-0.04919999999999991,-1.39,5299.96,6845.5517,0.3263,0.7,3.5068,7880.616,3.401,5470.452,,,,,,,,,,
20120119,000065.SZ,3.4822,3.5396,3.4439,3.4767,3.4904,-0.013700000000000045,-0.3925,4540.14,5799.3983,0.2795,0.58,3.5068,7953.982,3.4248,5629.976,,,,,,,,,,
20120120,000065.SZ,3.4849,3.5943,3.4849,3.515,3.4767,0.0383,1.1016,3132.63,4024.5791,0.1929,0.39,3.4822,5216.554,3.462,5804.417,3.4107,4914.8323,,,,,,,,
20120130,000065.SZ,3.5341,3.5533,3.4166,3.4603,3.515,-0.05469999999999997,-1.5562,2072.23,2645.899,0.1276,0.4,3.4964,4101.872,3.48,5656.642,3.4202,4957.6554,,,,,,,,
20120131,000065.SZ,3.4275,3.474,3.3127,3.3756,3.4603,-0.08470000000000022,-2.4478,3494.9,4300.292,0.2152,0.85,3.4636,3707.972,3.4764,5626.42,3.4307,4999.9631,,,,,,,,
20120201,000065.SZ,3.3346,3.4002,3.3291,3.3975,3.3756,0.02190000000000003,0.6488,2242.45,2761.4487,0.1381,0.6,3.445,3096.47,3.4759,5488.543,3.4502,5065.6731,,,,,,,,
20120202,000065.SZ,3.3182,3.4139,3.3182,3.4111,3.3975,0.013599999999999834,0.4003,3091.98,3834.962,0.1903,1.0,3.4319,2806.838,3.4693,5380.41,3.4603,5030.4423,,,,,,,,
20120203,000065.SZ,3.3893,3.4986,3.3893,3.4685,3.4111,0.05740000000000034,1.6827,4447.66,5622.5879,0.2738,1.58,3.4226,3069.844,3.4524,4143.199,3.4647,5080.4838,,,,,,,,
20120206,000065.SZ,3.515,3.6599,3.4931,3.5751,3.4685,0.1065999999999998,3.0734,15111.86,19909.238,0.9303,4.92,3.4456,5677.77,3.471,4889.821,3.478,5964.3792,,,,,,,,
20120207,000065.SZ,3.5751,3.5751,3.4576,3.5068,3.5751,-0.0682999999999998,-1.9104,4942.01,6334.4759,0.3042,0.87,3.4718,5967.192,3.4677,4837.582,3.4803,6023.51,,,,,,,,
20120208,000065.SZ,3.5177,3.5915,3.4795,3.5861,3.5068,0.07929999999999993,2.2613,5825.62,7570.1144,0.3586,0.98,3.5095,6683.826,3.4773,4890.148,3.4763,5177.8062,3.4343,5005.7871,,,,,,
20120209,000065.SZ,3.5861,3.6517,3.556,3.5888,3.5861,0.0026999999999999247,0.0753,7486.88,9882.3846,0.4609,1.12,3.5451,7562.806,3.4885,5184.822,3.4917,5165.5938,3.4463,5290.1371,,,,,,
20120210,000065.SZ,3.5669,3.6243,3.5533,3.6052,3.5888,0.01639999999999997,0.457,6071.61,7984.3519,0.3738,0.8,3.5724,7887.596,3.4975,5478.72,3.4967,5212.3023,3.4637,5439.0281,,,,,,
20120213,000065.SZ,3.5806,3.6817,3.5068,3.6271,3.6052,0.02190000000000003,0.6075,5878.83,7755.9119,0.3619,0.75,3.5828,6040.99,3.5142,5859.38,3.5072,5256.8308,3.4867,5652.8667,,,,,,
20120214,000065.SZ,3.6271,3.6517,3.5697,3.5997,3.6271,-0.02740000000000009,-0.7554,5811.57,7649.527,0.3578,0.96,3.6014,6214.902,3.5366,6091.047,3.5167,5354.6331,3.502,5760.5614,,,,,,
20120215,000065.SZ,3.5806,3.6735,3.5806,3.6626,3.5997,0.06289999999999996,1.7474,11670.75,15522.3032,0.7185,1.88,3.6167,7383.928,3.5631,7033.877,3.528,6011.4115,3.514,6135.4962,,,,,,
20120216,000065.SZ,3.6899,3.9469,3.6899,3.9168,3.6626,0.2542,6.9404,31290.3,44101.1493,1.9263,4.24,3.6823,12144.612,3.6137,9853.709,3.5631,8258.9554,3.5384,7453.0714,,,,,,
20120217,000065.SZ,3.8676,3.9059,3.7938,3.8703,3.9168,-0.046499999999999986,-1.1872,17304.57,24404.3494,1.0653,1.42,3.7353,14391.204,3.6538,11139.4,3.6012,9321.2377,3.5572,8078.3695,,,,,,
20120220,000065.SZ,3.8922,3.9578,3.8457,3.9277,3.8703,0.05740000000000034,1.4831,14586.89,20827.2884,0.898,1.01,3.7954,16132.816,3.6891,11086.903,3.642,10270.81,3.571,7972.0419,,,,,,
20120221,000065.SZ,3.9168,3.9496,3.7883,3.9059,3.9277,-0.021800000000000264,-0.555,11904.08,16842.2406,0.7328,0.74,3.8567,17351.318,3.729,11783.11,3.68,10948.6638,3.5956,8174.8248,3.5275,7237.567,,,,
