trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000045.SZ,9.42,9.5,8.78,8.82,9.31,-0.4900000000000002,-5.2632,78112.46,71398.9937,3.3488,0.77,,,,,,,,,,,,,,
20120105,000045.SZ,8.77,9.28,8.38,9.07,8.82,0.25,2.8345,84023.24,74321.0401,3.6022,0.8,,,,,,,,,,,,,,
20120106,000045.SZ,8.91,9.27,8.68,9.2,9.07,0.129999999999999,1.4333,70558.91,63674.4502,3.0249,0.74,,,,,,,,,,,,,,
20120109,000045.SZ,9.15,9.98,9.02,9.74,9.2,0.5400000000000009,5.8696,186347.87,179341.69,7.9889,2.04,,,,,,,,,,,,,,
20120110,000045.SZ,9.65,10.14,9.5,10.01,9.74,0.2699999999999996,2.7721,169614.64,166696.9602,7.2715,1.63,9.368,117731.424,,,,,,,,,,,,
20120111,000045.SZ,9.9,10.9,9.72,10.45,10.01,0.4399999999999995,4.3956,158081.4,162356.8157,6.7771,1.34,9.694,133725.212,,,,,,,,,,,,
20120112,000045.SZ,10.31,10.54,10.11,10.21,10.45,-0.23999999999999844,-2.2967,105490.4,108709.5603,4.5225,0.79,9.922,138018.644,,,,,,,,,,,,
20120113,000045.SZ,10.21,10.54,9.82,10.0,10.21,-0.21000000000000085,-2.0568,95228.02,96336.4554,4.0825,0.69,10.082,142952.466,,,,,,,,,,,,
20120116,000045.SZ,9.79,10.4,9.71,10.1,10.0,0.09999999999999964,1.0,96364.01,97243.1977,4.1312,0.67,10.154,124955.694,,,,,,,,,,,,
20120117,000045.SZ,9.91,10.64,9.76,10.58,10.1,0.4800000000000004,4.7525,110943.49,113815.6423,4.7562,0.89,10.268,113221.464,9.818,115476.444,,,,,,,,,,
20120118,000045.SZ,10.49,10.65,9.85,9.9,10.58,-0.6799999999999997,-6.4272,84729.29,87074.8756,3.6324,0.75,10.158,98551.042,9.926,116138.127,,,,,,,,,,
20120119,000045.SZ,9.8,9.97,9.5,9.63,9.9,-0.2699999999999996,-2.7273,71036.73,68973.8759,3.0454,0.72,10.042,91660.308,9.982,114839.476,,,,,,,,,,
20120120,000045.SZ,9.65,9.96,9.58,9.6,9.63,-0.030000000000001137,-0.3115,56640.61,55186.9141,2.4282,0.62,9.962,83942.826,10.022,113447.646,9.7931,105167.0054,,,,,,,,
20120130,000045.SZ,9.63,10.05,9.6,9.93,9.6,0.33000000000000007,3.4375,61979.18,60848.4933,2.6571,0.74,9.928,77065.86,10.041,101010.777,9.8785,103925.9838,,,,,,,,
20120131,000045.SZ,9.82,9.95,9.61,9.81,9.93,-0.11999999999999922,-1.2085,41475.9,40334.5561,1.7781,0.54,9.774,63172.342,10.021,88196.903,9.9354,100653.1115,,,,,,,,
20120201,000045.SZ,9.72,10.04,9.7,9.8,9.81,-0.009999999999999787,-0.1019,49290.42,48638.0265,2.1131,0.78,9.754,56084.568,9.956,77317.805,9.9815,99017.0738,,,,,,,,
20120202,000045.SZ,9.81,10.15,9.7,10.1,9.8,0.29999999999999893,3.0612,60331.98,59958.16,2.5865,1.08,9.848,53943.618,9.945,72801.963,10.0092,89323.5438,,,,,,,,
20120203,000045.SZ,10.1,10.33,10.05,10.07,10.1,-0.02999999999999936,-0.297,63111.62,64187.4359,2.7057,1.17,9.942,55237.82,9.952,69590.323,10.0138,81131.0038,,,,,,,,
20120213,000045.SZ,10.29,10.77,10.08,10.39,10.07,0.3200000000000003,3.1778,118023.58,122297.9619,5.0598,2.14,10.034,66446.7,9.981,71756.28,10.0092,78049.6331,,,,,,,,
20120214,000045.SZ,10.28,10.35,9.95,10.1,10.39,-0.2900000000000009,-2.7911,85365.23,86121.6428,3.6597,1.28,10.092,75224.566,9.933,69198.454,10.0008,76501.5431,,,,,,,,
20120215,000045.SZ,10.02,10.8,9.95,10.55,10.1,0.45000000000000107,4.4554,121289.09,126278.2922,5.1998,1.61,10.242,89624.3,9.998,72854.434,10.0431,78506.2408,9.9076,93716.0986,,,,,,
20120216,000045.SZ,10.45,10.55,10.14,10.32,10.55,-0.23000000000000043,-2.1801,75724.33,78312.8524,3.2464,0.84,10.286,92702.77,10.067,73323.194,10.06,76918.5731,9.979,93602.3781,,,,,,
20120217,000045.SZ,10.3,10.46,10.12,10.19,10.32,-0.13000000000000078,-1.2597,41137.18,42193.5497,1.7636,0.44,10.31,88307.882,10.126,71772.851,10.03,71548.8569,10.0324,91560.1848,,,,,,
20120220,000045.SZ,10.3,10.54,10.02,10.08,10.19,-0.10999999999999943,-1.0795,72414.2,74395.0029,3.1045,0.82,10.248,79186.006,10.141,72816.353,10.0438,70601.5423,10.0743,91648.5319,,,,,,
20120221,000045.SZ,10.03,10.11,9.58,9.94,10.08,-0.14000000000000057,-1.3889,79797.86,78608.0459,3.421,1.01,10.216,78072.532,10.154,76648.549,10.0677,71275.4754,10.0838,86574.7219,,,,,,
20120222,000045.SZ,9.92,10.12,9.86,10.1,9.94,0.16000000000000014,1.6097,64970.47,65159.8855,2.7853,0.83,10.126,66808.808,10.184,78216.554,10.1062,71916.2338,10.0881,81591.6662,,,,,,
20120223,000045.SZ,10.13,10.38,10.11,10.22,10.1,0.120000000000001,1.1881,63943.27,65472.6008,2.7413,0.96,10.106,64452.596,10.196,78577.683,10.1285,72067.3177,10.0771,77108.8981,,,,,,
