trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120202,000525.SZ,12.2164,12.4396,12.0735,12.4396,12.1271,0.3125,2.5769,21447.78,29387.3544,0.7759,1.9,12.2467,13017.628,12.1414,14346.939,12.1882,18112.6169,,,,,,,,
20120203,000525.SZ,12.386,12.77,12.2878,12.4575,12.4396,0.01789999999999914,0.1439,39914.7,55890.5419,1.444,3.07,12.2825,18514.174,12.1646,16757.353,12.2129,19772.7692,,,,,,,,
20120206,000525.SZ,12.4218,12.6004,12.395,12.52,12.4575,0.0625,0.5017,20024.57,28006.2261,0.7244,1.08,12.3414,19702.488,12.2574,18171.211,12.2191,19407.5685,,,,,,,,
20120207,000525.SZ,12.5021,12.5557,12.0378,12.2074,12.52,-0.31259999999999977,-2.4968,15110.1,20714.086,0.5466,0.77,12.3503,20792.702,12.2548,17536.761,12.1999,16809.1354,,,,,,,,
20120208,000525.SZ,12.1271,12.4039,12.0467,12.4039,12.2074,0.19650000000000034,1.6097,16766.8,23061.4611,0.6066,0.81,12.4057,22652.79,12.2896,16983.981,12.2136,16882.6923,12.1407,18025.2743,,,,,,
20120209,000525.SZ,12.4039,12.6004,12.2967,12.4932,12.4039,0.08929999999999971,0.7199,17953.12,25081.4495,0.6495,0.79,12.4164,21953.858,12.3316,17485.743,12.283,17810.9331,12.1513,18591.9895,,,,,,
20120210,000525.SZ,12.5021,12.8147,12.4664,12.5468,12.4932,0.053599999999999426,0.429,20953.75,29620.8844,0.758,0.95,12.4343,18161.668,12.3584,18337.921,12.307,17772.4062,12.1875,19313.3586,,,,,,
20120213,000525.SZ,12.5378,12.8147,12.3414,12.7968,12.5468,0.25,1.9925,16013.48,22687.646,0.5793,0.88,12.4896,17359.45,12.4155,18530.969,12.3641,17289.2431,12.2636,19155.5967,,,,,,
20120214,000525.SZ,12.7611,12.8325,12.6361,12.6986,12.7968,-0.09819999999999851,-0.7674,29926.96,42670.9951,1.0827,1.72,12.5879,20322.822,12.4691,20557.762,12.4121,18596.2785,12.3129,19625.119,,,,,,
20120215,000525.SZ,12.6718,12.8683,12.5914,12.77,12.6986,0.0713999999999988,0.5623,24398.54,34775.7665,0.8827,1.2,12.6611,21849.17,12.5334,22250.98,12.4499,19516.7838,12.3431,19913.9676,,,,,,
20120216,000525.SZ,12.7879,12.8593,12.6718,12.8593,12.77,0.08929999999999971,0.6993,17356.43,24786.2908,0.6279,0.79,12.7343,21729.832,12.5753,21841.845,12.4987,19768.5862,12.3631,19560.8367,,,,,,
20120217,000525.SZ,12.8504,13.0558,12.7254,12.8504,12.8593,-0.008899999999998798,-0.0692,18099.92,26046.8087,0.6548,0.83,12.795,21159.066,12.6146,19660.367,12.5516,20417.8854,12.3818,18094.6552,,,,,,
20120220,000525.SZ,12.9486,13.0826,12.6718,12.8861,12.8504,0.03570000000000029,0.2778,25636.03,36967.7499,0.9274,1.21,12.8129,23083.576,12.6512,20221.513,12.61,21815.5523,12.4133,18562.5348,,,,,,
20120221,000525.SZ,12.8504,12.9397,12.5557,12.8147,12.8861,-0.07140000000000057,-0.5541,17602.8,25163.2508,0.6368,0.76,12.8361,20618.744,12.712,20470.783,12.6388,21519.7846,12.4715,19120.4781,12.3223,18882.393,,,,
20120222,000525.SZ,12.8147,13.0379,12.7611,12.9933,12.8147,0.17859999999999943,1.3937,24917.57,35991.8187,0.9014,1.21,12.8808,20722.55,12.7709,21285.86,12.68,20366.1592,12.5077,19285.3814,12.3464,19511.242,,,,
20120223,000525.SZ,12.9754,13.1987,12.9129,13.0737,12.9933,0.08040000000000092,0.6188,23118.46,33763.4604,0.8364,1.12,12.9236,21874.956,12.829,21802.394,12.7226,20604.1508,12.5561,19324.6129,12.3893,20088.3573,,,,
20120224,000525.SZ,13.1451,13.3862,12.9486,13.3594,13.0737,0.2857000000000003,2.1853,34541.18,50835.6724,1.2496,1.58,13.0254,25163.208,12.9102,23161.137,12.8112,22098.8492,12.6174,20353.4548,12.4614,20595.514,,,,
20120227,000525.SZ,13.3505,13.4755,13.1987,13.3416,13.3594,-0.017800000000001148,-0.1332,27736.94,41466.1791,1.0034,1.1,13.1165,25583.39,12.9647,24333.483,12.8834,22942.7062,12.668,21082.2629,12.5173,20851.179,,,,
20120228,000525.SZ,13.3058,13.3683,13.0558,13.2969,13.3416,-0.04469999999999885,-0.335,27165.23,40172.9688,0.9828,1.06,13.213,27495.876,13.0245,24057.31,12.9452,23651.33,12.719,21705.2262,12.556,21145.596,,,,
20120229,000525.SZ,13.1004,13.3951,13.0826,13.2165,13.2969,-0.08040000000000092,-0.6047,24002.39,35449.9785,0.8683,0.87,13.2576,27312.84,13.0692,24017.695,12.9967,23885.8408,12.7692,22388.2433,12.5819,21119.9363,,,,
20120301,000525.SZ,13.2165,13.2165,12.8593,12.9486,13.2165,-0.26789999999999914,-2.027,25991.55,37804.468,0.9403,0.95,13.2326,27887.458,13.0781,24881.207,13.0084,24653.3846,12.8083,23270.3952,12.5983,20356.6637,,,,
